3|2|Pystypunnerrus|3|4|30.0
3|2|Pystypunnerrus|0|0|0.0
3|2|Pystypunnerrus|0|0|0.0
12|2|Pystypunnerrus|3|8|70.0
12|2|Pystypunnerrus|3|8|70.0
12|2|Pystypunnerrus|3|8|70.0
12|2|Pystypunnerrus|3|8|70.0
12|2|Pystypunnerrus|3|8|70.0
12|2|Pystypunnerrus|3|8|70.0
1|2|Pystypunnerrus|4|8|60.0
11|14|Kyykky|3|6|110.0
11|14|Kyykky|3|6|100.0
15|15|Penkkipunnerrus|4|8|100.0
15|16|Vinopenkki|3|10|48.0
15|17|Dippi|3|10|0.0
15|18|Pystypunnerrus|3|8|30.0
16|19|Kyykky|3|8|80.0
2|21|Penkkipunnerrus|3|8|70.0
2|21|Vinopenkki|3|12|60.0
2|2|Pystypunnerrus|3|8|70.0
1|2|Pystypunnerrus|3|8|70.0
2|2|Pystypunnerrus|3|8|70.0
2|2|Pystypunnerrus|3|8|70.0
16|22|Etukyykky|3|8|55.0
1|23|Dippi|2|10|0.0
2|2|Pystypunnerrus|3|8|70.0
1|2|Pystypunnerrus|3|8|70.0
2|2|Pystypunnerrus|3|8|70.0
2|2|Pystypunnerrus|3|8|70.0
